author_clean,book_count,avg_rating,avg_bayesian,total_votes,median_price,nationality,books,author_score,influence
三毛,61,8.757377049180329,8.747717057942472,844974,22.0,中国,"['撒哈拉的故事', '撒哈拉的故事', '梦里花落知多少', '撒哈拉的故事', '哭泣的骆驼', '雨季不再来', '万水千山走遍', '梦里花落知多少', '温柔的夜', '撒哈拉的故事', '稻草人手记', '撒哈拉的故事', '雨季不再来', '闹学记', '我的宝贝', '梦里花落知多少', '梦里花落知多少', '亲爱的三毛', '送你一匹马', '雨季不再来', '稻草人手記', '滚滚红尘', '万水千山走遍', '温柔的夜', '雨季不再來', '撒哈拉的故事', '三毛作品集', '万水千山走遍', '稻草人手记', '稻草人手记', '温柔的夜', '万水千山走遍', '雨季不再来', '我的宝贝', '萬水千山走遍', '哭泣的駱駝', '送你一匹马', '倾城', '你是我不及的梦', '滚滚红尘', '傾城', '亲爱的三毛', '滚滚红尘', '我的宝贝', '背影', '梦里花落知多少', '送你一匹馬', '送你一匹马', '流星雨', '三毛典藏全集', '流星雨', '溫柔的夜', '温柔的夜', '我的灵魂骑在纸背上', '荷西 我爱你', '随想', '背影', '夢裡花落知多少', '亲爱的三毛', '谈心', '三毛经典作品（上下）']",8.713336118470945,118.91144102477585
余华,35,8.377142857142857,8.374936457148147,1401956,17.0,中国,"['活着', '许三观卖血记', '活着', '活着', '兄弟（上）', '第七天', '许三观卖血记', '兄弟（下）', '兄弟', '在细雨中呼喊', '许三观卖血记', '活着', '在细雨中呼喊', '兄弟', '在细雨中呼喊', '活着', '活着', '现实一种', '我们生活在巨大的差距里', '十八岁出门远行', '许三观卖血记', '许三观卖血记', '我胆小如鼠', '许三观卖血记', '现实一种', '第七天', '兄弟', '黄昏里的男孩', '世事如烟', '鲜血梅花', '许三观卖血记', '在细雨中呼喊', '黄昏里的男孩', '古典爱情', '没有一条道路是重复的']",8.352004595477057,118.20909209243985
王小波,54,8.829629629629629,8.816959521086806,684927,21.4,中国,"['黄金时代', '沉默的大多数', '一只特立独行的猪', '黄金时代', '我的精神家园', '白银时代', '红拂夜奔', '青铜时代', '绿毛水怪', '沉默的大多数', '思维的乐趣', '白银时代', '青铜时代', '黑铁时代', '沉默的大多数', '万寿寺', '黄金时代', '一只特立独行的猪', '红拂夜奔', '寻找无双·东宫西宫', '沉默的大多数', '三十而立', '似水流年', '黄金时代', '我的精神家园', '黑铁时代', '我的阴阳两界·革命时期的爱情', '王小波全集（第一卷 杂文）', '爱你就像爱生命', '革命时期的爱情', '绿毛水怪', '王小波全集', '王小波全集：红拂夜奔（第四卷）', '黄金时代', '理想国与哲人王', '青铜时代', '王小波全集（第二卷 杂文）', '地久天长', '唐人故事', '一只特立独行的猪', '黄金时代', '沉默的大多数', '我的阴阳两界', '沉默的大多数', '黄金时代 白银时代', '王小波全集：万寿寺（第三卷）', '王小波全集（第六卷）', '沉默的大多数', '黄金时代 黑铁时代', '王小波全集 第九卷', '沉默的大多数', '寻找无双', '红拂夜奔', '假如你愿意你就恋爱吧']",8.774240403713257,117.90007374685754
刘慈欣,26,8.5,8.494317334695468,1068572,28.0,中国,"['三体', '三体Ⅱ', '三体Ⅲ', '流浪地球', '球状闪电', '三体全集', '乡村教师', '超新星纪元', '时间移民', '带上她的眼睛', '赡养人类', '2018', '流浪地球', '微纪元', '超新星纪元', '魔鬼积木·白垩纪往事', '三体2', '白垩纪往事', '球状闪电', '流浪地球', '朝闻道', '三体3', '中国太阳', '流浪地球', '时光尽头', '镜子']",8.447747865131687,117.27023921012733
J. K. 罗琳,9,8.677777777777777,8.678280416947915,882240,39.8,英,"['哈利·波特与魔法石', '哈利·波特与阿兹卡班的囚徒', '哈利·波特与密室', '哈利·波特与火焰杯', '哈利·波特与混血王子', '哈利·波特与凤凰社', '哈利·波特与死亡圣器', '诗翁彼豆故事集', '偶发空缺']",8.498584558505879,116.34749688629402
乔治·奥威尔,15,9.24,9.228010631259137,404698,22.0,英,"['1984', '动物农场', '一九八四·动物农场', '一九八四', '动物庄园', '1984', '一九八四', '动物农场', '动物农场', '1984', '动物农场', '1984', '一九八四', '一九八四', '巴黎伦敦落魄记']",8.974009190954114,115.86252503217453
村上春树,76,8.046052631578947,8.047368515661772,1524394,23.0,日,"['挪威的森林', '1Q84 BOOK 1', '挪威的森林', '海边的卡夫卡', '当我谈跑步时我谈些什么', '1Q84 BOOK 2', '且听风吟', '1Q84 BOOK 3', '世界尽头与冷酷仙境', '世界尽头与冷酷仙境', '没有色彩的多崎作和他的巡礼之年', '国境以南 太阳以西', '海边的卡夫卡', '舞！舞！舞！', '刺杀骑士团长', '寻羊冒险记', '东京奇谭集', '我的职业是小说家', '且听风吟', '天黑以后', '遇到百分之百的女孩', '斯普特尼克恋人', '国境以南 太阳以西', '世界尽头与冷酷仙境', '奇鸟行状录', '神的孩子全跳舞', '大萝卜和难挑的鳄梨', '一九七三年的弹子球', '没有女人的男人们', '再袭面包店', '舞！舞！舞！', '天黑以后', '无比芜杂的心绪', '1973年的弹子球', '神的孩子全跳舞', '奇鸟行状录', '当我谈跑步时，我谈些什么（2015典藏版）', '遇到百分之百的女孩', '当我谈跑步时，我谈些什么', '挪威的森林', '挪威的森林', '寻羊冒险记', '假如真有时光机', '挪威的森林', '斯普特尼克恋人', '列克星敦的幽灵', '挪威的森林', '萤', '天黑以后', '图书馆奇谈', '远方的鼓声', '去中国的小船', '旋转木马鏖战记', '电视人', '再袭面包店', '萤', '舞 ! 舞 ! 舞 !', '象的失踪', '去中国的小船', '地下', '海边的卡夫卡', '电视人', '去中国的小船', '村上广播', '旋转木马鏖战记', '且听风吟', '且听风吟', '列克星敦的幽灵', '羊男的圣诞节', '雨天炎天', '挪威的森林', '终究悲哀的外国语', '碎片，令人怀念的1980年代', '边境 近境', '海边的卡夫卡', '如果我们的语言是威士忌']",8.054076343445459,114.66675609494241
卡勒德·胡赛尼,4,8.725000000000001,8.722559504795747,765609,32.5,美,"['追风筝的人', '灿烂千阳', '群山回唱', '追风筝的人']",8.420020424342479,114.07804199911814
当年明月,9,8.899999999999999,8.898358082194088,527914,28.8,中国,"['明朝那些事儿（壹）', '明朝那些事儿（1-9）', '明朝那些事儿（贰）', '明朝那些事儿（叁）', '明朝那些事儿（肆）', '明朝那些事儿（伍）', '明朝那些事儿（陆）', '明朝那些事儿（柒）', '明朝那些事儿']",8.641441701363021,113.86560333331468
加西亚·马尔克斯,22,8.527272727272727,8.523419585138534,680664,35.0,哥伦比亚,"['百年孤独', '霍乱时期的爱情', '百年孤独', '一桩事先张扬的凶杀案', '没有人给他写信的上校', '苦妓回忆录', '枯枝败叶', '世上最美的溺水者', '爱情和其他魔鬼', '活着为了讲述', '霍乱时期的爱情', '霍乱时期的爱情', '梦中的欢快葬礼和十二个异乡故事', '礼拜二午睡时刻', '恶时辰', '百年孤独', '族长的秋天', '迷宫中的将军', '我不是来演讲的', '一个海难幸存者的故事', '百年孤独', '蓝狗的眼睛']",8.462229030336381,113.65472178982853
